"antecedents";"consequents";"antecedent support";"consequent support";"support";"confidence";"lift";"leverage";"conviction";"zhangs_metric"
"365 by Whole Foods Market Chip Potato Rippled Sea Salt 10 Ounce";"365 by Whole Foods Market Pretzel Twists Mini Organic 8 Ounce";0.0105;0.0115;0.01;0.9523809523809523;82.81573498964804;0.009879250000000001;20.758499999999977;0.9984082870136433
"365 by Whole Foods Market Pretzel Twists Mini Organic 8 Ounce";"365 by Whole Foods Market Chip Potato Rippled Sea Salt 10 Ounce";0.0115;0.0105;0.01;0.8695652173913044;82.81573498964804;0.009879250000000001;7.5861666666666725;0.999418310571573
"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";"365 by Whole Foods Market Pretzel Twists Mini Organic 8 Ounce";0.0165;0.0115;0.0105;0.6363636363636364;55.33596837944664;0.01031025;2.718375;0.9984022078582322
"365 by Whole Foods Market Pretzel Twists Mini Organic 8 Ounce";"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";0.0115;0.0165;0.0105;0.9130434782608696;55.33596837944664;0.01031025;11.310250000000009;0.9933521208179781
"Blueberries 1 Pint";"Dole Bananas 2 lb Bag";0.029;0.0715;0.0105;0.3620689655172414;5.063901615625754;0.0084265;1.4554864864864863;0.8264920798391447
"Dole Bananas 2 lb Bag";"Blueberries 1 Pint";0.0715;0.029;0.0105;0.14685314685314688;5.063901615625754;0.0084265;1.1381393442622951;0.8643228966330743
"Strawberries 1 lb";"Blueberries 1 Pint";0.0505;0.029;0.012;0.2376237623762376;8.193922840559917;0.0105355;1.2736493506493507;0.9246533263120941
"Blueberries 1 Pint";"Strawberries 1 lb";0.029;0.0505;0.012;0.41379310344827586;8.193922840559917;0.0105355;1.6197352941176468;0.9041795399931343
"Fresh Brand  Cut and Peeled Baby Carrots 16 oz";"Dole Bananas 2 lb Bag";0.0395;0.0715;0.011;0.27848101265822783;3.8948393378773125;0.008175749999999999;1.2868684210526316;0.7738157209786568
"Dole Bananas 2 lb Bag";"Fresh Brand  Cut and Peeled Baby Carrots 16 oz";0.0715;0.0395;0.011;0.15384615384615385;3.894839337877313;0.008175749999999999;1.1351363636363636;0.8004846526655897
"Strawberries 1 lb";"Dole Bananas 2 lb Bag";0.0505;0.0715;0.0155;0.3069306930693069;4.292736966004293;0.01188925;1.3396928571428572;0.8078445361735379
"Dole Bananas 2 lb Bag";"Strawberries 1 lb";0.0715;0.0505;0.0155;0.2167832167832168;4.292736966004293;0.01188925;1.2123080357142857;0.8261156565393368
"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Vanilla Icelandic Cultured Dairy Product With 15g Protein/Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";0.0165;0.012;0.0115;0.6969696969696969;58.080808080808076;0.011302;3.2603999999999993;0.9992705731526711
"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Vanilla Icelandic Cultured Dairy Product With 15g Protein/Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";0.012;0.0165;0.0115;0.9583333333333333;58.080808080808076;0.011302;23.60399999999996;0.9947192395704982
"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";"""Tate's Bake Shop Cookies-Chocolate Chip 7 Ounce""";0.0165;0.011;0.01;0.6060606060606061;55.096418732782375;0.0098185;2.5105384615384616;0.9983223182511439
"""Tate's Bake Shop Cookies-Chocolate Chip 7 Ounce""";"Icelandic Provisions 5.3oz Traditional Skyr Yogurt Key Lime Icelandic Cultured Dairy Product With 15g Protein Per Serving | Thick & Creamy Texture | More Protein & Less Sugar Than Yogurt";0.011;0.0165;0.01;0.9090909090909092;55.09641873278237;0.0098185;10.81850000000001;0.9927704752275026
"Lemon Reg Conventional 1 Each";"Lime Regular Conventional 1 Each";0.022;0.02;0.0115;0.5227272727272727;26.136363636363633;0.01106;2.0533333333333332;0.9833733440028453
"Lime Regular Conventional 1 Each";"Lemon Reg Conventional 1 Each";0.02;0.022;0.0115;0.575;26.136363636363637;0.01106;2.301176470588235;0.9813664596273294
